40001|1|1|5|Ποιo όχημα είναι επιβατικό;|0|GA-1|A01
40193|1|12|5|Αυτή η πινακίδα σημαίνει ότι αριστερά υπάρχει αδιέξοδο;|Q193|GA-193|A 193
40194|1|13|5|Αυτή η πινακίδα σημαίνει ότι αριστερά υπάρχει χώρος για παρκάρισμα;|Q194|GA-194|A 194
40195|1|14|5|Στην ειδική λωρίδα που κινούνται λεωφορεία μπορείς να κινείσαι μ’ ένα φορτηγό;|Q195|GA-195|A 195
40196|1|15|5|Στην ειδική λωρίδα που κινούνται λεωφορεία μπορείς να κινείσαι μ’ ένα επιβατικό;|Q196|GA-196|A 196
40197|1|16|5|Οδηγείς σ’ αυτόν το δρόμο. Η πινακίδα σού δείχνει ότι πρέπει να τρέχεις περισσότερο από 90 χιλιόμετρα την ώρα;|Q197|GA-197|A 197
40198|1|17|5|Η πινακίδα αυτή σου επιτρέπει να παρκάρεις ελεύθερα;|Q198|GA-198|A 198
40199|1|18|5|Η πινακίδα αυτή σου επιτρέπει να παρκάρεις μόνο αν έχεις ειδική κάρτα;|Q199|GA-199|A 199
40200|1|19|5|Αυτή η πινακίδα σημαίνει ότι υπάρχουν στο δρόμο λακκούβες και πρέπει να προσέχεις;|Q200|GA-200|A 200
40201|1|10|5|Όταν δεις αυτήν την πινακίδα, που σημαίνει ότι ο δρόμος είναι σε κακή κατάσταση, πρέπει να κόψεις ταχύτητα;|Q201|GA-201|A 201
40202|1|11|5|Αυτή η πινακίδα σημαίνει ότι απαγορεύεται και να σταματάς για λίγο και να παρκάρεις;|Q202|GA-202|A 202
40203|1|12|5|Αυτή η πινακίδα σημαίνει ότι μπορείς να σταματήσεις για λίγα λεπτά, αλλά δεν μπορείς να παρκάρεις;|Q203|GA-203|A 203
40204|1|13|5|Αυτή η πινακίδα σημαίνει ότι όταν οδηγείς μοτοσικλέτα απαγορεύεται να μπεις στο δρόμο αυτό;|Q204|GA-204|A 204
40205|1|14|5|Αυτή η πινακίδα σημαίνει ότι όταν οδηγείς μοτοσικλέτα απαγορεύεται να μπεις στο δρόμο αυτό;|Q205|GA-205|A 205
40206|1|15|5|Αυτή η πινακίδα σημαίνει ότι υπάρχει κίνδυνος γιατί περνάνε συχνά ποδηλάτες;|Q206|GA-206|A 206
40207|1|16|5|Όταν συναντάς αυτήν την πινακίδα, στην επόμενη διασταύρωση έχεις προτεραιότητα;|Q207|GA-207|A 207
40208|1|17|5|Όταν συναντάς αυτήν την πινακίδα στην επόμενη διασταύρωση πρέπει να δώσεις προτεραιότητα στον οδηγό που έρχεται από δεξιά;|Q208|GA-208|A 208
40209|1|18|5|Όταν βλέπεις αυτήν την πινακίδα απαγορεύεται να στρίψεις αριστερά;|Q209|GA-209|A 209
40210|1|19|5|Όταν δεις αυτήν την πινακίδα πρέπει να συνεχίσεις υποχρεωτικά ευθεία;|Q210|GA-210|A 210
40211|1|10|5|Όταν δεις αυτήν την πινακίδα πρέπει υποχρεωτικά να πας δεξιά;|Q211|GA-211|A 211
40212|1|11|5|Όταν δεις αυτήν την πινακίδα πρέπει να πας αριστερά;|Q212|GA-212|A 212
40213|1|12|5|Όταν δεις αυτήν την πινακίδα πρέπει να αφήσεις αυτόν που έρχεται από αριστερά να περάσει πρώτος;|Q213|GA-213|A 213
40214|1|13|5|Όταν δεις αυτήν την πινακίδα πρέπει υποχρεωτικά να στρίψεις δεξιά;|Q214|GA-214|A 214
40215|1|14|5|Όταν δεις αυτήν την πινακίδα απαγορεύεται να στρίψεις δεξιά;|Q215|GA-215|A 215
40216|1|15|5|Η πινακίδα αυτή σημαίνει υποχρεωτική στροφή δεξιά;|Q216|GA-216|A 216
40217|1|16|5|Η πινακίδα αυτή σημαίνει επικίνδυνη δεξιά στροφή;|Q217|GA-217|A 217
40218|1|17|5|Στις στάσεις των λεωφορείων, όπου υπάρχει μια κίτρινη γραμμή ζιγκ-ζαγκ μπορείς να σταματήσεις έστω και για λίγο;|Q218|GA-218|A 218
40219|1|18|5|Στις στάσεις των λεωφορείων απαγορεύεται και να σταματάς και να παρκάρεις;|Q219|GA-219|A 219
40220|1|19|5|Στις στάσεις των λεωφορείων, όπου υπάρχει μια κίτρινη γραμμή ζιγκ-ζαγκ μπορείς να σταθμεύεις το αυτοκίνητό σου;|Q220|GA-220|A 220
40221|1|10|5|Όπου υπάρχει μια κίτρινη γραμμή ζιγκ-ζαγκ στο δρόμο μπορείς να την πατάς όταν οδηγείς;|Q221|GA-221|A 221
40222|1|11|5|Στις στάσεις των λεωφορείων μπορείς να σταματήσεις για λίγο;|Q222|GA-222|A 222
40223|1|12|5|Όταν στο δρόμο υπάρχει η κίτρινη γραμμή ζιγκ-ζαγκ απαγορεύεται να σταματάς και να παρκάρεις;|Q223|GA-223|A 223
40224|1|13|5|Όταν υπάρχει αυτή η πινακίδα απαγορεύεται να παρκάρεις γιατί είναι ειδικός χώρος για αυτοκίνητα Ατόμων με Αναπηρίες (ΑμεΑ);|Q224|GA-224|A 224
40225|1|14|5|Αυτή η πινακίδα σημαίνει κίνδυνο γιατί πλησιάζεις σε γραμμές τρένου με μπάρες και πρέπει να κόψεις ταχύτητα;|Q225|GA-225|A 225
40226|1|15|5|Αυτή η πινακίδα σημαίνει ότι πλησιάζεις γραμμές τρένου και πρέπει να σταματήσεις όταν οι μπάρες είναι κατεβασμένες;|Q226|GA-226|A 226
40227|1|16|5|Σ’ αυτήν την περίπτωση επιτρέπεται να περάσεις αν δεν έρχεται τρένο;|Q227|GA-227|A 227
40228|1|17|5|Η πινακίδα αυτή σημαίνει ότι όλα τα οχήματα που έχουν μηχανή δεν μπορούν να μπουν στο δρόμο αυτό;|Q228|GA-228|A 228
40229|1|18|5|Η πινακίδα αυτή σημαίνει ότι ούτε τα αυτοκίνητα, ούτε τα ποδήλατα μπορούν να μπουν στο δρόμο αυτό;|Q229|GA-229|A 229
40230|1|19|5|Όταν δεις αυτήν την πινακίδα, σημαίνει ότι ο δρόμος γλιστράει και δεν πρέπει να τρέχεις;|Q230|GA-230|A 230
40231|1|10|5|H πινακίδα αυτή σημαίνει ότι ο δρόμος μπροστά σου έχει επικίνδυνες στροφές;|Q231|GA-231|A 231
40232|1|11|5|Όταν δεις αυτήν την πινακίδα πρέπει να τρέχεις περισσότερο;|Q232|GA-232|A 232
40233|1|12|5|Όταν δεις αυτήν την πινακίδα δεν πρέπει να πατάς απότομα το φρένο;|Q233|GA-233|A 233
40234|1|13|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει κίνδυνος γιατί μπορεί να υπάρχουν άνθρωποι που περνάνε το δρόμο;|Q234|GA-234|A 234
40235|1|14|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να μπεις στο δρόμο γιατί είναι πεζόδρομος;|Q235|GA-235|A 235
40236|1|15|5|Όταν δεις αυτήν την πινακίδα μπορείς να τρέχεις με ταχύτητα μεγαλύτερη από 30 χιλιόμετρα την ώρα;|Q236|GA-236|A 236
40237|1|16|5|H πινακίδα αυτή σημαίνει ότι απαγορεύεται να τρέχεις με ταχύτητα μεγαλύτερη από 30 χιλιόμετρα την ώρα;|Q237|GA-237|A 237
40238|1|17|5|Η πινακίδα αυτή σημαίνει ότι έχεις προτεραιότητα;|Q238|GA-238|A 238
40239|1|18|5|Όταν δεις αυτήν την πινακίδα έχεις προτεραιότητα και δεν πρέπει να προσέχεις καθόλου τα άλλα αυτοκίνητα και τους πεζούς;|Q239|GA-239|A 239
40240|1|19|5|Η πινακίδα αυτή σημαίνει ότι ο δρόμος που κινείσαι δεν έχει πια προτεραιότητα;|Q240|GA-240|A 240
40241|1|10|5|Η πινακίδα αυτή σημαίνει ότι βγαίνεις από τετράγωνη πλατεία;|Q241|GA-241|A 241
40242|1|11|5|Η πινακίδα αυτή σημαίνει ότι τελειώνουν όλες οι απαγορεύσεις που υπήρχαν προηγουμένως;|Q242|GA-242|A 242
40243|1|12|5|Όταν δεις αυτήν την πινακίδα σημαίνει ότι μπορεί να έχει αέρα που είναι επικίνδυνος για την οδήγηση;|Q243|GA-243|A 243
40244|1|13|5|Όταν δεις αυτήν την πινακίδα πρέπει να τρέχεις περισσότερο για να μην κινδυνεύεις από τον αέρα;|Q244|GA-244|A 244
40245|1|14|5|Όταν δεις αυτήν την πινακίδα πρέπει να σταματάς γιατί αυτοί που έρχονται από δεξιά έχουν προτεραιότητα;|Q245|GA-245|A 245
40246|1|15|5|Όταν δεις αυτήν την πινακίδα έχεις προτεραιότητα σε σχέση μ’ αυτούς που έρχονται από δεξιά;|Q246|GA-246|A 246
40247|1|16|5|Όταν βλέπεις αυτήν την πινακίδα πρέπει να κάνεις το γύρο της πλατείας;|Q247|GA-247|A 247
40248|1|17|5|Όταν δεις αυτήν την πινακίδα δεν πρέπει να μπεις στο δρόμο γιατί απαγορεύεται;|Q248|GA-248|A 248
40249|1|18|5|Ποια πινακίδα σημαίνει το μονόδρομο;|0|GA-249|A 249
40250|1|19|5|Η πινακίδα δείχνει ότι όταν ρίχνει χιόνι βάζεις αλυσίδες στις ρόδες που κινούν το αυτοκίνητο;|Q250|GA-250|A 250
40251|1|10|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να φουσκώσεις τα λάστιχα περισσότερο;|Q251|GA-251|A 251
40252|1|11|5|Όταν δεις αυτήν την πινακίδα σημαίνει ότι απαγορεύεται να περνούν αυτοκίνητα;|Q252|GA-252|A 252
40253|1|12|5|Σε δρόμο μ’ αυτήν την πινακίδα κυκλοφορούν μόνο πεζοί;|Q253|GA-253|A 253
40254|1|13|5|Αυτή η πινακίδα σημαίνει πεζόδρομο;|Q254|GA-254|A 254
40255|1|14|5|Όταν δεις αυτήν την πινακίδα πρέπει να προσέχεις πολύ γιατί υπάρχουν κίνδυνοι;|Q255|GA-255|A 255
40256|1|15|5|Όταν δεις αυτήν την πινακίδα έχεις προτεραιότητα και δεν πρέπει να προσέχεις καθόλου;|Q256|GA-256|A 256
40257|1|16|5|Όταν δεις αυτές τις πινακίδες μαζί πρέπει να προσέχεις γιατί στο επόμενο χιλιόμετρο υπάρχουν κίνδυνοι;|Q257|GA-257|A 257
40258|1|17|5|Όταν δεις την πινακίδα αυτή έχεις εσύ προτεραιότητα και όχι αυτός που έρχεται από απέναντι;|Q258|GA-258|A 258
40259|1|18|5|Όταν δεις την πινακίδα αυτή, προτεραιότητα έχει αυτός που έρχεται από απέναντι;|Q259|GA-259|A 259
40260|1|19|5|Όταν δεις αυτήν την πινακίδα πρέπει να σταματήσεις γιατί αυτοί που έρχονται από απέναντι έχουν προτεραιότητα;|Q260|GA-260|A 260
40261|1|10|5|Όταν βλέπεις αυτήν την πινακίδα σημαίνει ότι έχεις προτεραιότητα;|Q261|GA-261|A 261
40262|1|11|5|Όταν δεις την πινακίδα αυτή εσύ δεν έχεις προτεραιότητα και πρέπει να σταματήσεις για να περάσει αυτός που έρχεται από απέναντι;|Q262|GA-262|A 262
40263|1|12|5|Η πινακίδα αυτή σημαίνει ότι όσοι έρχονται από απέναντι έχουν προτεραιότητα;|Q263|GA-263|A 263
40264|1|13|5|Σε λωρίδα μ’ αυτήν την πινακίδα επιτρέπεται να κυκλοφορείς με το αυτοκίνητό σου;|Q264|GA-264|A 264
40265|1|14|5|Η πινακίδα αυτή σημαίνει ειδική λωρίδα που κινούνται μόνο τα λεωφορεία;|Q265|GA-265|A 265
40266|1|15|5|Η πινακίδα αυτή σημαίνει ότι στη λωρίδα αυτή κυκλοφορούν μόνο τα λεωφορεία ή τα τρόλλεϊ;|Q266|GA-266|A 266
40267|1|16|5|Στη λωρίδα για τα λεωφορεία και τις μοτοσικλέτες μπορείς να μπεις με το αυτοκίνητό σου μόνο για να στρίψεις δεξιά;|Q267|GA-267|A 267
40268|1|17|5|Η πινακίδα αυτή σημαίνει ότι πλησιάζεις σε μία στάση λεωφορείου;|Q268|GA-268|A 268
40269|1|18|5|Όταν δεις αυτήν την πινακίδα σε μία λωρίδα απαγορεύεται να μπεις με το αυτοκίνητό σου;|Q269|GA-269|A 269
40270|1|19|5|Όταν δεις αυτήν την πινακίδα μπορείς να κυκλοφορείς με μοτοσικλέτα στη δεξιά λωρίδα;|Q270|GA-270|A 270
40271|1|10|5|Όταν δεις αυτήν την πινακίδα και υπάρχει κίνδυνος επιτρέπεται να πατήσεις την κόρνα;|Q271|GA-271|A 271
40272|1|11|5|Απαγορεύεται να πατάς την κόρνα, εκτός αν υπάρχει κίνδυνος;|Q272|GA-272|A 272
40273|1|12|5|Σ’ αυτήν την περίπτωση μπορείς να κάνεις προσπέρασμα;|Q273|GA-273|A 273
40274|1|13|5|Αυτή η πινακίδα δείχνει ότι υπάρχει μια επικίνδυνη αριστερή στροφή;|Q274|GA-274|A 274
40275|1|14|5|Όταν δεις αυτήν την πινακίδα πρέπει να στρίψεις αμέσως αριστερά;|Q275|GA-275|A 275
40276|1|15|5|Όταν δεις αυτήν την πινακίδα πρέπει να κόψεις ταχύτητα γιατί μετά από λίγο υπάρχει επικίνδυνη στροφή αριστερά;|Q276|GA-276|A 276
40277|1|16|5|Όταν δεις αυτήν την πινακίδα πρέπει να πατήσεις φρένο και να κόψεις ταχύτητα πριν μπεις στην επικίνδυνη δεξιά στροφή;|Q277|GA-277|A 277
40278|1|17|5|Όταν δεις αυτήν την πινακίδα πρέπει να ανάψεις τα μεσαία φώτα γιατί υπάρχει τούνελ;|Q278|GA-278|A 278
40279|1|18|5|Όταν δεις αυτήν την πινακίδα πρέπει να σταματήσεις γιατί περνά τρένο;|Q279|GA-279|A 279
40280|1|19|5|Όταν οδηγείς μοτοσικλέτα και δεις αυτήν την πινακίδα επιτρέπεται να μπεις στο δρόμο αυτό;|Q280|GA-280|A 280
40281|1|10|5|Όταν δεις αυτήν την πινακίδα, δεν μπορείς να μπεις στο δρόμο αυτό αν το αυτοκίνητό σου ζυγίζει παραπάνω από 5 τόνους;|Q281|GA-281|A 281
40282|1|11|5|Το φορτηγό σου ζυγίζει 6 τόνους χωρίς να του βάλεις φορτίο. Επιτρέπεται να μπεις στο δρόμο που υπάρχει αυτή η πινακίδα;|Q282|GA-282|A 282
40283|1|12|5|Όταν δεις αυτήν την πινακίδα φτάνεις στο λιμάνι;|Q283|GA-283|A 283
40284|1|13|5|Όταν δεις αυτήν την πινακίδα σημαίνει ότι φτάνεις μπροστά σε γέφυρα που σηκώνεται;|Q284|GA-284|A 284
40285|1|14|5|Αν το αυτοκίνητό σου έχει πλάτος μεγαλύτερο από 2 μέτρα απαγορεύεται να μπεις σε δρόμο που υπάρχει αυτή η πινακίδα;|Q285|GA-285|A 285
40286|1|15|5|Αν το αυτοκίνητό σου έχει πλάτος μικρότερο από 2 μέτρα μπορείς να μπεις σε δρόμο που υπάρχει αυτή η πινακίδα;|Q286|GA-286|A 286
40287|1|16|5|Η πινακίδα αυτή δείχνει ότι απαγορεύεται να μπει αυτοκίνητο με ύψος μεγαλύτερο από 2 μέτρα;|Q287|GA-287|A 287
40288|1|17|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει Σταθμός Πρώτων Βοηθειών;|Q288|GA-288|A 288
40289|1|18|5|Η πινακίδα αυτή σημαίνει ότι υπάρχει εκκλησία;|Q289|GA-289|A 289
40290|1|19|5|Η πινακίδα αυτή δείχνει ότι υπάρχουν επικίνδυνες συνεχείς στροφές, από τις οποίες η πρώτη είναι δεξιά;|Q290|GA-290|A 290
40291|1|10|5|Όταν δεις αυτήν την πινακίδα πρέπει να κόβεις ταχύτητα γιατί υπάρχει κίνδυνος;|Q291|GA-291|A 291
40292|1|11|5|Η πινακίδα αυτή σημαίνει ότι πλησιάζεις σε μία πλατεία;|Q292|GA-292|A 292
40293|1|12|5|Η πινακίδα αυτή σημαίνει ότι ο δρόμος είναι κλειστός για όλα τα αυτοκίνητα;|Q293|GA-293|A 293
40294|1|13|5|Η πινακίδα αυτή δείχνει ότι υπάρχει επικίνδυνη κατηφόρα, γι’ αυτό πρέπει να φρενάρεις και να κατεβάσεις ταχύτητα;|Q294|GA-294|A 294
40295|1|14|5|Η πινακίδα αυτή δείχνει ότι υπάρχει επικίνδυνη ανηφόρα, γι’ αυτό πρέπει να πατήσεις γκάζι;|Q295|GA-295|A 295
40296|1|15|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε γραμμές τρένου χωρίς μπάρες;|Q296|GA-296|A 296
40297|1|16|5|Η πινακίδα αυτή δείχνει σταθμό τρένου;|Q297|GA-297|A 297
40298|1|17|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε γραμμές τρένου χωρίς μπάρες;|Q298|GA-298|A 298
40299|1|18|5|Η πινακίδα αυτή δείχνει ότι υπάρχει επικίνδυνη διασταύρωση που περνάει τρένο;|Q299|GA-299|A 299
40300|1|19|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε γραμμή τρένου χωρίς μπάρες;|Q300|GA-300|A 300
40301|1|10|5|Η πινακίδα αυτή σημαίνει ότι μπαίνεις σε πλατεία και πρέπει να κινηθείς κυκλικά;|Q301|GA-301|A 301
40302|1|11|5|Όταν δεις την πινακίδα αυτή πρέπει υποχρεωτικά να γυρίσεις πίσω με αναστροφή ή όπισθεν;|Q302|GA-302|A 302
40303|1|12|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να τρέχεις παραπάνω από 30 χιλιόμετρα την ώρα;|Q303|GA-303|A 303
40304|1|13|5|Όταν δεις αυτήν την πινακίδα απαγορεύεται να τρέχεις με ταχύτητα μεγαλύτερη από 30 χιλιόμετρα την ώρα;|Q304|GA-304|A 304
40305|1|14|5|Όταν δεις αυτήν την πινακίδα μπορείς να σταθμεύεις μόνο για τριάντα λεπτά;|Q305|GA-305|A 305
40306|1|15|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται η αριστερή στροφή;|Q306|GA-306|A 306
40307|1|16|5|Η πινακίδα αυτή δείχνει την Αστυνομία;|Q307|GA-307|A 307
40308|1|17|5|Οι πινακίδες αυτές σημαίνουν ότι υπάρχει γραμμή τρένου και πρέπει να σταματήσεις στο STOP;|Q308|GA-308|A 308
40309|1|18|5|Όταν δεις αυτές τις πινακίδες σημαίνει ότι υπάρχει γραμμή τρένου και πρέπει να σταματήσεις μόνο όταν είναι κατεβασμένες οι μπάρες;|Q309|GA-309|A 309
40310|1|19|5|Όταν δεις αυτές τις πινακίδες πρέπει να σταματήσεις στο STOP και να περάσεις μόνο αν δεν δεις τρένο;|Q310|GA-310|A 310
40311|1|10|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται η είσοδος στα τρακτέρ;|Q311|GA-311|A 311
40312|1|11|5|Όταν οδηγείς ένα μικρό φορτηγό και δεις αυτήν την πινακίδα απαγορεύεται να μπεις στο δρόμο αυτό;|Q312|GA-312|A 312
40313|1|12|5|Πλησιάζοντας σε διόδια βλέπεις αυτήν την πινακίδα. Πρέπει να κόβεις ταχύτητα;|Q313|GA-313|A 313
40314|1|13|5|Η πινακίδα αυτή σημαίνει ότι φτάνεις σε διόδια;|Q314|GA-314|A 314
40315|1|14|5|Όταν δεις αυτήν την πινακίδα σημαίνει ότι ανεβαίνεις έναν ανήφορο, γι’ αυτό πρέπει να βάλεις μικρότερη ταχύτητα;|Q315|GA-315|A 315
40316|1|15|5|Όταν δεις αυτήν την πινακίδα πρέπει να φρενάρεις γιατί είσαι σε κατηφόρα;|Q316|GA-316|A 316
40317|1|16|5|Η πινακίδα αυτή σημαίνει ότι μπαίνεις σε δρόμο διπλής κυκλοφορίας;|Q317|GA-317|A 317
40318|1|17|5|Όταν δεις την πινακίδα αυτή πρέπει να σταματήσεις για να περάσουν οι απέναντι;|Q318|GA-318|A 318
40319|1|18|5|Η πινακίδα αυτή δείχνει μονόδρομο;|Q319|GA-319|A 319
40320|1|19|5|Η πινακίδα αυτή σου δείχνει ότι πρέπει να προχωρήσεις υποχρεωτικά μπροστά;|Q320|GA-320|A 320
40321|1|10|5|Η μαύρη γραμμή στην πινακίδα δείχνει ότι πρέπει υποχρεωτικά να στρίψεις δεξιά;|Q321|GA-321|A 321
40322|1|11|5|Για να στρίψεις αριστερά πρέπει να ακολουθήσεις τη διαδρομή που δείχνει η μαύρη γραμμή;|Q322|GA-322|A 322
40323|1|12|5|Η πινακίδα αυτή σημαίνει ότι ο δρόμος στενεύει κι απ’ τις δύο μεριές;|Q323|GA-323|A 323
40324|1|13|5|Όταν δεις αυτήν την πινακίδα πρέπει να κόψεις ταχύτητα γιατί στενεύει ο δρόμος;|Q324|GA-324|A 324
40325|1|14|5|Όταν δεις αυτήν την πινακίδα πρέπει να οδηγείς αριστερά γιατί υπάρχει στενή γέφυρα;|Q325|GA-325|A 325
40326|1|15|5|Αυτή η πινακίδα σημαίνει ότι γίνονται έργα στο δρόμο και πρέπει να προσέχεις;|Q326|GA-326|A 326
40327|1|16|5|H πινακίδα αυτή σημαίνει ότι ο δρόμος είναι κλειστός γιατί γίνονται έργα;|Q327|GA-327|A 327
40328|1|17|5|Στην επόμενη διασταύρωση απαγορεύεται να στρίψεις αριστερά;|Q328|GA-328|A 328
40329|1|18|5|Όταν δεις αυτήν την πινακίδα απαγορεύεται να μπεις στο δρόμο αυτό;|Q329|GA-329|A 329
40330|1|19|5|Όταν δεις την πινακίδα αυτή σημαίνει ότι μπορείς να μπεις στο δρόμο μόνο σε περίπτωση μεγάλης ανάγκης;|Q330|GA-330|A 330
40331|1|10|5|Όταν δεις αυτήν την πινακίδα μπορείς να μπεις στο δρόμο μόνο με την όπισθεν;|Q331|GA-331|A 331
40332|1|11|5|H πινακίδα αυτή σημαίνει ότι απαγορεύεται να μπεις στο δρόμο αυτό οποιοδήποτε όχημα και αν οδηγείς;|Q332|GA-332|A 332
40333|1|12|5|Η πινακίδα αυτή σημαίνει υποχρεωτική στροφή αριστερά;|Q333|GA-333|A 333
40334|1|13|5|Η πινακίδα αυτή σημαίνει επικίνδυνη αριστερή στροφή;|Q334|GA-334|A 334
40335|1|14|5|Όταν δεις αυτήν την πινακίδα πρέπει υποχρεωτικά να ακολουθήσεις την πορεία που δείχνει και να πας αριστερά στη στροφή;|Q335|GA-335|A 335
40336|1|15|5|Η πινακίδα αυτή σημαίνει το τέλος μιας λωρίδας που κινούνται μόνο τα λεωφορεία;|Q336|GA-336|A 336
40337|1|16|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται στα λεωφορεία και τα τρόλλεϊ να κυκλοφορούν σ’ αυτήν τη λωρίδα;|Q337|GA-337|A 337
40338|1|17|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται το παρκάρισμα των λεωφορείων;|Q338|GA-338|A 338
40339|1|18|5|Σε ποια λωρίδα πρέπει να κινείσαι για να στρίψεις αριστερά;|Q339|GA-339|A 339
40340|1|19|5|Σε ποια λωρίδα πρέπει να κινείσαι για να στρίψεις δεξιά;|Q340|GA-340|A 340
40341|1|10|5|Σε ποιες λωρίδες πρέπει να κινείσαι για να πας ευθεία;|Q341|GA-341|A 341
40342|1|11|5|Η πινακίδα αυτή δείχνει μέχρι πόσο επιτρέπεται να τρέχεις σε κάθε λωρίδα του δρόμου;|Q342|GA-342|A 342
40343|1|12|5|Επιτρέπεται να τρέχεις περισσότερο από 80 χλμ/ώρα στη μεσαία λωρίδα;|Q343|GA-343|A 343
40344|1|13|5|Σε ποια λωρίδα μπορείς να τρέχεις με 90 χιλιόμετρα την ώρα;|Q344|GA-344|A 344
40345|1|14|5|Επιτρέπεται να τρέχεις περισσότερο από 100 χιλιόμετρα την ώρα στην αριστερή λωρίδα;|Q345|GA-345|A 345
40346|1|15|5|Όταν το φανάρι είναι πράσινο πρέπει να συνεχίσεις την πορεία σου;|Q346|GA-346|A 346
40347|1|16|5|Στο πορτοκαλί φανάρι πρέπει να σταματάς όταν μπορείς να το κάνεις με ασφάλεια;|Q347|GA-347|A 347
40348|1|17|5|Όταν το φανάρι είναι κόκκινο πρέπει να σταματάς;|Q348|GA-348|A 348
40349|1|18|5|Μπορείς να πας μόνο ευθεία αφού το φανάρι είναι πράσινο;|Q349|GA-349|A 349
40350|1|19|5|Mπορείς να συνεχίσεις την πορεία σου μόνο αν στρίψεις δεξιά στο φανάρι;|Q350|GA-350|A 350
40351|1|10|5|Όλοι οι οδηγοί πρέπει να σταματήσουν στο φανάρι;|Q351|GA-351|A 351
40352|1|11|5|Όλοι οι οδηγοί είναι υποχρεωμένοι να στρίψουν δεξιά στο φανάρι;|Q352|GA-352|A 352
40353|1|12|5|Η πινακίδα αυτή σημαίνει ότι συχνά περνούν παιδιά και γι’ αυτό πρέπει να κόψεις ταχύτητα;|Q353|GA-353|A 353
40354|1|13|5|Η πινακίδα αυτή σημαίνει κίνδυνο επειδή υπάρχει κοντά σχολείο και κυκλοφορούν παιδιά;|Q354|GA-354|A 354
40355|1|14|5|Η πινακίδα αυτή σημαίνει ότι βρίσκεσαι σε πεζόδρομο;|Q355|GA-355|A 355
40356|1|15|5|Η πινακίδα αυτή σημαίνει ότι πρέπει να βάλεις αλυσίδες στους τροχούς επειδή υπάρχει χιόνι;|Q356|GA-356|A 356
40357|1|16|5|Όταν δεις αυτήν την πινακίδα πρέπει να αλλάξεις τις πίσω ρόδες με τις μπροστινές;|Q357|GA-357|A 357
40358|1|17|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να μπεις σ’ αυτόν το δρόμο αν οδηγείς επιβατικό αυτοκίνητο;|Q358|GA-358|A 358
40359|1|18|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται να μπεις σ’ αυτόν το δρόμο αν οδηγείς μοτοσικλέτα;|Q359|GA-359|A 359
40360|1|19|5|Επιτρέπεται να μπεις σ’ αυτόν το δρόμο αν οδηγείς μικρό φορτηγό;|Q360|GA-360|A 360
40361|1|10|5|Η πινακίδα αυτή απαγορεύει να μπεις στο δρόμο αν το βάρος σε κάθε άξονα του αυτοκινήτου σου είναι μεγαλύτερο από 2 τόνους;|Q361|GA-361|A 361
40362|1|11|5|Η πινακίδα αυτή σημαίνει ότι δεξιά υπάρχει απότομη κατηφόρα;|Q362|GA-362|A 362
40363|1|12|5|Η πινακίδα βρίσκεται σε μια νησίδα του δρόμου και σημαίνει ότι πρέπει να περάσεις από τη δεξιά πλευρά της;|Q363|GA-363|A 363
40364|1|13|5|Η πινακίδα αυτή σημαίνει ότι υποχρεωτικά πρέπει να στρίψεις δεξιά;|Q364|GA-364|A 364
40365|1|14|5|Η πινακίδα αυτή δείχνει ότι ο δρόμος μπροστά στενεύει στη δεξιά πλευρά. Πρέπει να κόψεις ταχύτητα;|Q365|GA-365|A 365
40366|1|15|5|Αυτή η πινακίδα σημαίνει ότι ο οδηγός του πίσω αυτοκινήτου πρέπει να κρατά απόσταση από το μπροστινό μεγαλύτερη των 70 μέτρων;|Q366|GA-366|A 366
40367|1|16|5|Η πινακίδα αυτή σημαίνει ότι αριστερά υπάρχει επικίνδυνη κατηφόρα;|Q367|GA-367|A 367
40368|1|17|5|Η πινακίδα αυτή βρίσκεται σε ένα εμπόδιο του δρόμου και σημαίνει ότι πρέπει να περάσεις από την αριστερή πλευρά του;|Q368|GA-368|A 368
40369|1|18|5|Η πινακίδα αυτή σημαίνει ότι υποχρεωτικά πρέπει να στρίψεις αριστερά;|Q369|GA-369|A 369
40370|1|19|5|Η πινακίδα αυτή σημαίνει ότι απαγορεύεται η είσοδος σε όλα τα φορτηγά;|Q370|GA-370|A 370
40371|1|10|5|Η πινακίδα αυτή σημαίνει ότι τα αυτοκίνητα που μεταφέρουν επικίνδυνα υλικά απαγορεύεται να μπουν στο δρόμο αυτό;|Q371|GA-371|A 371
40372|1|11|5|Οδηγείς ένα φορτηγό που μεταφέρει φρούτα. Επιτρέπεται να μπεις στο δρόμο αυτό;|Q372|GA-372|A 372
